Column 12,TEMA,ACTIVIDAD,SUBTAREAS,Prioridad,Propietario,Estado,Fecha de inicio,Fecha de finalización,Hito,Distribuible,Notas
DANZA,PLAN ESPECIAL DE SALVAGUARDA SALSA,Se debe desarrollar una estrategia  que permita realizar unos procesos de sistematización de los pasos de la salsa caleña y el desarrollo de una acción para fomentar el aprovechamiento económico desde los derechos colectivos ,Estructurar nuevamente la propuesta 2 de la iniciativa después de la reunión sostenida con despacho y la Universidad San Buenaventura,P0,Gestión de las Artes Cultura victoria.danza.gestiondelasartes@gmail.com,No iniciada,12/02/2026,14/02/2026,,,
DANZA,GASTRONOMÍA Y MODA  + FESTIVALES,A,Aportar al documento marco de hermanamiento al proceso de hermanamiento  con la Universidad San Buenaventura,P1,,En curso,,,,,
DANZA,GASTRONOMÍA Y MODA  + FESTIVALES,,"Priorizar las actividades que requieren los Festivales , solo conversar con las delegas.",P0,victoria.danza.gestiondelasartes@gmail.com,En curso,20/02/2026,,,,
DANZA,GASTRONOMÍA Y MODA  + FESTIVALES,,"Integrar dentro del documento de hermanamiento de la Secretaría con la San Bue la información vinculada a los demás proyectos que tiene la entidad (mediar, arts, Danza, Salsa, Festivales )",,,,,,,,
,ADMINISTRATIVOS,Revisión y aprobación de informes de pago del equipo,"Fernando vida (c2), Victoria Jaramillo (c2) , Andrés Correa (c1), Andrés Correa (c2). Yan Caicedo (C2)",P0,Gestión de las Artes Cultura,En curso,17/02/2026,18/02/2026,,,
,ARTICULACIÓN TERRITORIOS TÍOS,Gestionar una reunión de articulación con diferentes procesos de las entidades,Victoria Jaramillo articulará la reunión,P3,victoria.danza.gestiondelasartes@gmail.com,En curso,17/02/2026,19/02/2026,,,
,COMITÉ DE INFANCIA Y ,ojo que el lunes 23 hay reunión . revisar citaciones,,,,,,,,,
,SEMILLEROS ARTÍSTICOS,,Enviar la caracterización para  revisión d Giovanna Segovia,,,En curso,11/02/2026,19/02/2026,,,
,SEMILLEROS ARTÍSTICOS,,Consolidar la base de datos de los Semilleros Artísticos,,,En curso,12/02/2026,19/02/2026,,,
,SEMILLEROS ARTÍSTICOS,,Socialización virtual ,,,,,,,,
,SEMILLEROS ARTÍSTICOS,,Bloquear espacios para la ruta de semilleros - sala de ensayo - Giovanna -. Viernes 27 4 a 7 p.m. Sala de ensayos,,,,,,,,
,RUTA DE LA DANZA,,Estructurar el documento base de la danza,P0,Gestión de las Artes Cultura,No iniciada,19/02/2026,20/02/2026,,,
,ASESORÍA FESTIVAL DE BALLET,,Articuaclión con los semilleros artísticos para Programación,,,,,,,,
,RUTA DE GESTIÓN CULTURAL COMUNITARIA C16,,Cómo vamos a evaluar el proceso. Con,,,,,,,,
,SENA,,"DANZA, CANTO Y TEATRO. 9 JURADOS QUE PUEAN ACOMPAÑAR 4 O 5 HORAS. 30 DE ABRIL O 28 DE MAYO 2 A 7 P.M. ",,,,,,,,
ORFEO,Orfeo con radicado No. 202641510100001454,,,P0,jesusrodriguezcali@gmail.com samirsmc2015@gmail.com,En curso,19/02/2026,19/02/2026,,,
